comparison_id,method,method_version,dataset_id,tier,observation_fraction,algorithm_seed,repeat,timeout_seconds,hardware
baseline-hamming-1nn-rb-4074bf1a6c5bf8107c00bde0,hamming-1nn,1,rb-4074bf1a6c5bf8107c00bde0,n=6,0.03,d869f3e099b50bc09b7fde4e4f9e50d03895afcb4991682602ba3d08298233d4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-42d3a6d0a70e02331aa445f7,hamming-1nn,1,rb-42d3a6d0a70e02331aa445f7,n=6,0.03,9b97468e877b7ce2accf2b046d0951a2fc05c2cbd97f58a76187827f1ed3ada4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-45b7b05830698df48bf432e0,hamming-1nn,1,rb-45b7b05830698df48bf432e0,n=6,0.03,0ed13a1e7a5d0f45acc3e9ccef3713a38ada914ab647b596f552cb6c208126de,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-46e0fa82d6bdb1693a50bab0,hamming-1nn,1,rb-46e0fa82d6bdb1693a50bab0,n=8,0.03,50dd441474d1c1b4cac244ede825b475b1f773fbcf333c2e2f6a798ac4cb3ebe,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-47ee837174000d4b6cf73ddd,hamming-1nn,1,rb-47ee837174000d4b6cf73ddd,n=8,0.03,fd0ab300871961cb95502fe062ac98cb339a5d63cfa62bdee6eed03589b10215,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-4a2b81bf891680da65698507,hamming-1nn,1,rb-4a2b81bf891680da65698507,n=6,0.03,775147a0668130051312286cf9792eaef885065a58e416b6ce61aca2332739ad,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-4db9763f09ec3ff5ca13ec5f,hamming-1nn,1,rb-4db9763f09ec3ff5ca13ec5f,n=6,0.10,2e9256796f0631b42feeea4927881116de6b9e5e1d15d9fcded9006c034d1e01,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-4e3b0d8c8a422a7bdbcc047f,hamming-1nn,1,rb-4e3b0d8c8a422a7bdbcc047f,n=10,0.10,6b0fd9b230f42c52344b56594465e68ff27ca979416d727a3ff9a15ace783faa,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-4e45e6c48e13bd99b0c038c4,hamming-1nn,1,rb-4e45e6c48e13bd99b0c038c4,n=10,0.10,a70690e670a69cef67665db04d4efa9e2bb0673787abfe5498076520e00ca23b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-52160a71cc3e8c940a761f0e,hamming-1nn,1,rb-52160a71cc3e8c940a761f0e,n=6,0.10,754986315c4cd0e74d52caf8c5ffd3973c5738e505506fec72712facc0d6fab8,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-52b83d4c96f175c6680aedd4,hamming-1nn,1,rb-52b83d4c96f175c6680aedd4,n=6,0.10,f5d15c9ee7fe2f06e449598cb61bf51e675960a311ed7efb2cf74d1719a7089d,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-52d6b7787fe1330c4c06df59,hamming-1nn,1,rb-52d6b7787fe1330c4c06df59,n=8,0.03,0a1479a0f02edf1513431045a1355b8e44d2893e19020d8f0ea101c396d704b4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-5479856cca5a461b720d76ff,hamming-1nn,1,rb-5479856cca5a461b720d76ff,n=10,0.10,f6489dd7929b89ee3c2e23f18d09d00ed4a7252e55c14174487725dded941a0c,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-5524a87922df9afd8e74522f,hamming-1nn,1,rb-5524a87922df9afd8e74522f,n=10,0.03,be84ae4bcaf868bc79d2f54df8a2be13476b9a9a3234c688a8ef15aae010a786,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-55aa0b76edfee8d3c3faf8ce,hamming-1nn,1,rb-55aa0b76edfee8d3c3faf8ce,n=10,0.10,c635937765998c8728da20c183a546409a44c849cfea987ecdcb54404c0648ec,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-562fba2fff524fd52841cd17,hamming-1nn,1,rb-562fba2fff524fd52841cd17,n=10,0.10,6aeff3412fc63d74b92f871f6e5ccaac88d342548d7cebaf2d6b7944833192c2,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-56df09f62aa720e2ab777720,hamming-1nn,1,rb-56df09f62aa720e2ab777720,n=8,0.03,5555997b25fdf3a6f3745f26421d3a5d854fb8165478b43d354b982c10535d19,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-583618e0174afc8ead26f601,hamming-1nn,1,rb-583618e0174afc8ead26f601,n=6,0.10,6d41cc52a872ed743295a2d55d56490baa0af79088ea542bc4ff01517c961345,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-58d356300a851194131dfb48,hamming-1nn,1,rb-58d356300a851194131dfb48,n=10,0.10,28a6693685297f7be4b3b1d0b79079c5cf9fb6c822fd5abf9dfdfe815eaf3085,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-598e6b46f5efe8412ed82ae3,hamming-1nn,1,rb-598e6b46f5efe8412ed82ae3,n=10,0.10,e6cd034c19d83c1862ec9477791c0e34a6ab3b6ec992739b77cb6fe2ebd7633e,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-5cb628f7f2e05c9f49b5c0fd,hamming-1nn,1,rb-5cb628f7f2e05c9f49b5c0fd,n=6,0.03,ccfd03e5cd855f02a63d3d2ab1a274ac136ecb5464bdac5c38e868f6a6101345,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-5e4326eb465919cf2ce0a6dd,hamming-1nn,1,rb-5e4326eb465919cf2ce0a6dd,n=8,0.10,3ad4ef254c4bdd8cce389790f8032d7bfdbe2d35e8cb709a3b8b6f144f870ba8,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-61d85cef20ccb754e82eadd7,hamming-1nn,1,rb-61d85cef20ccb754e82eadd7,n=6,0.10,f99dc078e1172d5ea5bbe093965fb3a7a1ca263768d51554af5d5a60955b33ca,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-621fe8e8cfa270341b47651f,hamming-1nn,1,rb-621fe8e8cfa270341b47651f,n=8,0.03,cd42c6cf81ad05d6e36000c58f74a6f33c6937e5609bdaa9e17834ba726fa03f,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-628af795b3fc21b4d2388e8b,hamming-1nn,1,rb-628af795b3fc21b4d2388e8b,n=8,0.10,fca48d3480cf88ac0923f96679611d176aeeeaaf48b28f03204685bf904e3641,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-65bdd00efbfd2428f2bd5865,hamming-1nn,1,rb-65bdd00efbfd2428f2bd5865,n=10,0.03,019f30acc6183918fa4952918a8f606e640e51ced8c0fe9891a972636c6229b6,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6602b70b59671b84247eed51,hamming-1nn,1,rb-6602b70b59671b84247eed51,n=10,0.10,f908898b5977f162ff5fe98bb1e88bf47b41116fd58781e15ba5bc28bcce914b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6607ba3c69d513dfe4362efe,hamming-1nn,1,rb-6607ba3c69d513dfe4362efe,n=8,0.03,1929affb25fbb5e2efc7ce319e327a6179ce2cb453873fa7e41413cf27325193,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-661eb632c04cd1b29106c0dc,hamming-1nn,1,rb-661eb632c04cd1b29106c0dc,n=6,0.03,0f051ba38b54e14037e41de2c1457dcc92dcb2f39c5d599834091b96b3e1a991,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-66fa68e03e01d10b110a0de5,hamming-1nn,1,rb-66fa68e03e01d10b110a0de5,n=8,0.10,a59dc6f438bcbf10b9dd00321626b9a7c60b127b78079e3d5a8367a93956e198,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-675a716ff820e084498fab70,hamming-1nn,1,rb-675a716ff820e084498fab70,n=6,0.03,5f688c1c7736fae34bdda829d91b412313dbd7fd18a39722bb2e3a7aaa0d9471,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6a9a36eaf506f9948fc95bbc,hamming-1nn,1,rb-6a9a36eaf506f9948fc95bbc,n=8,0.03,c8f2a8fd53c67166d2c74e79797209d6e9115ee6689825a50737cbcf02638e66,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6e7f9ffa039b1c0f6b1acdda,hamming-1nn,1,rb-6e7f9ffa039b1c0f6b1acdda,n=10,0.03,768046977ddb592b53aab478b3cde9aae455f2236c8f29b550dda1fe19696540,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6ecda868565d52a951bad25c,hamming-1nn,1,rb-6ecda868565d52a951bad25c,n=6,0.10,1ad74bc5f5683042c67cfc2d0ec0c6b96ee1e7937eee33578cbf4dde3f48d5fb,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6f29cabf65f90a2d137ce986,hamming-1nn,1,rb-6f29cabf65f90a2d137ce986,n=8,0.03,2dd67dd6224dd06ed866d8761c95984d9d8eee4e48feff119646a03926232ca9,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-6f3b43783b7a144255e1f8d5,hamming-1nn,1,rb-6f3b43783b7a144255e1f8d5,n=10,0.03,bdc51d2df8ad3c1c9cf46f0469927b0e46b9e77d42f89bcb97bb6ebf3fe63f7b,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7894fe3fdf2a2b7daa4bef7f,hamming-1nn,1,rb-7894fe3fdf2a2b7daa4bef7f,n=6,0.03,0dfec50966e275b8e8a2b85729e78933ba57fb24c3c131f897098013a03bbd29,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-78ed6131382d2bb2ebc4e552,hamming-1nn,1,rb-78ed6131382d2bb2ebc4e552,n=6,0.03,9068a1e391e351323cd24496fa3332b3eb57dd59dcf49c01edb0facde8acde49,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7b20e093386ead279234826e,hamming-1nn,1,rb-7b20e093386ead279234826e,n=6,0.03,ec29b5525e0a25f1fe6659d5682aac4fc06f0b71f160600d4ef175b59d3cd362,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7b61265f007869b3fc1387cd,hamming-1nn,1,rb-7b61265f007869b3fc1387cd,n=10,0.10,50e8bc447bdd0db42183bbe8fa4b09d8ec74b392280a7ea0972273d5e7219cd4,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7df86fd8f779728c541b4b2f,hamming-1nn,1,rb-7df86fd8f779728c541b4b2f,n=10,0.03,291da705b866aac0f40455ec4652326b164f78a82dcdbe5fe343200ed50b9153,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7ef60b6d1de090e29a409de7,hamming-1nn,1,rb-7ef60b6d1de090e29a409de7,n=8,0.03,66649d3ce5cb713e26a61b1bff918932ac9b03953ebcaf2031b12b616d6f7120,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-7f7ea33dfa1108619e4e7eea,hamming-1nn,1,rb-7f7ea33dfa1108619e4e7eea,n=8,0.03,c3b8267c8bc5129fbd8adb210775a7a251ca1f74904a748563644908047f8086,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8046fd9e24ea5cb6ad0427a6,hamming-1nn,1,rb-8046fd9e24ea5cb6ad0427a6,n=10,0.03,21df0849b823061808cb540f8732e8ea27d9868216f6aba7d29242e895887ed3,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-811a2d6b1d4e6ba4f09f9347,hamming-1nn,1,rb-811a2d6b1d4e6ba4f09f9347,n=10,0.10,61393ba837220edd69913bbcb179c63ffbacfc37df012b98690005127042918f,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-83a7ea816bd240f2cd993874,hamming-1nn,1,rb-83a7ea816bd240f2cd993874,n=10,0.03,431280ae73b0fdb63bbc6ac0d6713001fedc7acd34b831a65b62ef367f0e2e6d,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8640a1dede006bf22e00f63c,hamming-1nn,1,rb-8640a1dede006bf22e00f63c,n=10,0.03,38aae39c20119509911dcee86ed1b10e4f42c3cec67ab41fd4dd267261ca6010,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8b6fd5bfbc1fae3175ab316f,hamming-1nn,1,rb-8b6fd5bfbc1fae3175ab316f,n=10,0.10,11be713f0cc032994440ac35b8187d35c5577eb26aa63999a87db481c1e853f5,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8beeeca237df5abe7e5d2b4e,hamming-1nn,1,rb-8beeeca237df5abe7e5d2b4e,n=10,0.03,f97d8339c98c987efb91608c1e1b638c2734d2450c92d6871246e77e3a152592,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8c1b57b291089e7a1a1d8854,hamming-1nn,1,rb-8c1b57b291089e7a1a1d8854,n=6,0.10,53f3a0e0d13ad995cfed1ed833e9915b543ef922b80f5bf9a74983043f83859f,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-8e8a73f70213c7198dcefe1b,hamming-1nn,1,rb-8e8a73f70213c7198dcefe1b,n=6,0.10,31717eb18e42a472c4dcb4f7f7817626fdfef7529ed664d9e00bd3027942fd3e,0,300,local-darwin-arm64-rust-1.93.0
baseline-hamming-1nn-rb-90a14e0afc933c254d5a5438,hamming-1nn,1,rb-90a14e0afc933c254d5a5438,n=10,0.03,0ae8491a478d6c917576ab2b19238ffdecaefc07453f881168ca15b31559d8c6,0,300,local-darwin-arm64-rust-1.93.0
